"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","423","updateUser()","","Wed Apr 16 09:51:40 GMT 2025","passed","Wed Apr 16 09:51:40 GMT 2025","","api.tests.ReqresInTests","api.tests.ReqresInTests","updateUser"
"","325","singleUserNotFound()","","Wed Apr 16 09:51:40 GMT 2025","passed","Wed Apr 16 09:51:40 GMT 2025","","api.tests.ReqresInTests","api.tests.ReqresInTests","singleUserNotFound"
"","2499","getListUsers()","","Wed Apr 16 09:51:37 GMT 2025","passed","Wed Apr 16 09:51:40 GMT 2025","","api.tests.ReqresInTests","api.tests.ReqresInTests","getListUsers"
"","56","getSingleUserSuccess()","","Wed Apr 16 09:51:40 GMT 2025","passed","Wed Apr 16 09:51:40 GMT 2025","","api.tests.ReqresInTests","api.tests.ReqresInTests","getSingleUserSuccess"
